TARGET_CLM_FLAG,TARGET_CLM_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,NPOLICY,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
0,,0,51,0,12,85076,No,249276,Yes,F,c_Bachelors,Manager,25,Private,25860,4,2,Sports Car,no,0,0,Yes,1,8,Highly Urban/ Urban
1,6872,0,37,0,10,55076,No,245993,Yes,M,d_High School,Clerical,23,Private,16400,4,2,Van,no,0,0,No,1,1,Highly Urban/ Urban
1,6716,3,36,4,0,,No,0,Yes,F,d_High School,Student,54,Private,1500,4,2,SUV,no,0,0,No,5,10,Highly Urban/ Urban
0,,0,52,0,12,68564,No,274122,Yes,M,d_High School,Blue Collar,44,Commercial,10950,4,1,Pickup,yes,0,0,No,2,11,Highly Rural/ Rural
1,5970,0,33,4,14,30504,Yes,0,No,M,e_No_High School,Clerical,33,Private,7850,6,2,Pickup,no,0,0,No,0,,Highly Urban/ Urban
0,,2,61,2,13,48734,No,207509,Yes,F,d_High School,Blue Collar,49,Commercial,12470,4,1,Sports Car,no,0,0,No,5,1,Highly Rural/ Rural
0,,0,50,0,15,121746,No,,Yes,M,c_Bachelors,Blue Collar,30,Commercial,23490,10,2,Panel Truck,yes,3181,1,No,0,9,Highly Urban/ Urban
0,,3,42,3,14,75288,No,249920,Yes,F,c_Bachelors,Professional,8,Private,19250,6,2,Minivan,no,13118,1,No,6,12,Highly Urban/ Urban
1,3694,0,44,0,13,21789,No,0,No,F,d_High School,Professional,35,Private,17930,6,1,SUV,no,4824,2,No,0,,Highly Urban/ Urban
0,,0,47,0,11,20300,No,137480,Yes,F,d_High School,Clerical,37,Private,11160,6,1,Sports Car,no,0,0,No,0,8,Highly Rural/ Rural
0,,1,39,2,13,48887,Yes,178171,No,F,c_Bachelors,Blue Collar,38,Commercial,10290,10,1,SUV,no,1459,2,No,5,13,Highly Urban/ Urban
0,,0,43,0,12,94641,No,299424,Yes,F,b_Masters,Lawyer,52,Private,21400,6,1,SUV,no,11095,1,No,0,19,Highly Urban/ Urban
0,,0,49,0,5,49244,No,163444,Yes,M,c_Bachelors,Clerical,30,Private,15880,1,3,Minivan,no,0,0,No,1,1,Highly Urban/ Urban
0,,0,40,1,12,41002,Yes,0,No,F,e_No_High School,Clerical,47,Private,12090,1,1,SUV,no,0,0,No,0,1,Highly Rural/ Rural
0,,0,60,0,15,148887,No,,Yes,M,a_PhD,Doctor,6,Private,20570,7,2,Minivan,no,1012,2,No,2,13,Highly Urban/ Urban
1,3332,0,35,1,13,72167,Yes,0,No,M,a_PhD,Doctor,31,Private,19700,5,1,Van,yes,7276,2,No,7,13,Highly Urban/ Urban
1,6315,0,47,0,14,52891,No,232693,Yes,F,d_High School,Blue Collar,44,Commercial,6200,1,1,SUV,no,8352,2,No,10,10,Highly Urban/ Urban
1,5273,1,43,3,15,39564,No,205645,Yes,M,d_High School,Blue Collar,30,Commercial,33110,1,1,Panel Truck,yes,610,4,No,0,4,Highly Urban/ Urban
0,,0,51,0,14,81743,No,0,No,M,c_Bachelors,Blue Collar,37,Commercial,14770,6,1,Minivan,yes,30760,3,No,5,10,Highly Urban/ Urban
1,1911,0,45,1,12,91347,No,301304,Yes,M,b_Masters,Manager,37,Private,17130,7,1,Van,yes,0,0,No,0,14,Highly Urban/ Urban
0,,0,33,1,9,46867,Yes,0,No,F,c_Bachelors,Clerical,12,Private,9490,4,1,Sports Car,no,0,0,No,0,15,Highly Rural/ Rural
1,4028,0,26,0,8,53244,No,0,No,M,c_Bachelors,Professional,28,Commercial,20920,3,4,Van,yes,6224,1,No,1,8,Highly Urban/ Urban
1,3886,0,31,1,10,8247,Yes,0,No,F,d_High School,Student,46,Commercial,5200,1,1,Sports Car,no,3068,2,No,5,1,Highly Urban/ Urban
0,,0,48,0,10,83419,No,220207,No,M,b_Masters,Manager,38,Private,15570,11,2,Minivan,yes,0,0,No,2,18,Highly Urban/ Urban
1,5094,0,28,3,0,0,No,0,Yes,F,d_High School,Student,45,Private,4950,1,1,SUV,no,8438,1,No,4,6,Highly Urban/ Urban
0,,0,46,0,,44041,No,211550,Yes,M,d_High School,Blue Collar,51,Commercial,20340,1,2,Van,yes,7813,3,No,3,10,Highly Urban/ Urban
0,,0,50,0,13,62626,No,0,No,F,d_High School,Blue Collar,36,Commercial,13790,6,1,SUV,no,0,0,No,1,10,Highly Urban/ Urban
0,,0,35,3,0,,Yes,0,No,M,e_No_High School,Student,15,Private,5000,1,3,Minivan,yes,3969,2,No,1,,Highly Urban/ Urban
1,8714,0,38,2,14,57684,Yes,189247,No,F,c_Bachelors,Professional,22,Private,5300,10,1,Sports Car,no,5892,2,No,0,17,Highly Urban/ Urban
0,,0,48,0,11,105299,No,276038,No,F,d_High School,Blue Collar,33,Private,28610,6,1,Minivan,no,6936,2,No,2,1,Highly Urban/ Urban
0,,0,37,0,0,0,No,105758,Yes,F,d_High School,Home Maker,19,Private,20060,1,2,SUV,no,0,0,No,0,1,Highly Urban/ Urban
1,7055,0,51,0,6,50049,No,0,No,M,d_High School,Blue Collar,49,Commercial,12820,6,1,Minivan,yes,0,0,Yes,0,1,Highly Urban/ Urban
0,,1,43,2,13,82356,No,244354,Yes,M,e_No_High School,Blue Collar,33,Commercial,21600,1,1,Van,yes,0,0,No,0,3,Highly Urban/ Urban
0,,1,44,3,15,74483,No,265815,Yes,F,d_High School,Clerical,43,Private,12300,6,1,SUV,no,0,0,No,0,5,Highly Rural/ Rural
0,,0,46,0,10,140919,No,365826,Yes,F,b_Masters,Lawyer,49,Private,22700,13,2,Minivan,no,0,0,No,2,10,Highly Rural/ Rural
0,,0,40,0,13,32131,No,133568,Yes,M,d_High School,Manager,24,Commercial,12190,4,1,Pickup,yes,0,0,No,0,1,Highly Urban/ Urban
