,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TARGET_BAD_FLAG,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
TARGET_LOSS_AMT,641.0,1109.0,767.0,1425.0,,335.0,1841.0,373.0,1217.0,1523.0,1822.0,1224.0,1928.0,,1680.0,407.0,2375.0,224.0,2017.0,
LOAN,1100,1300,1500,1500,1700,1700,1800,1800,2000,2000,2000,2000,2000,2000,2100,2200,2200,2200,2300,2300
MORTDUE,25860.0,70053.0,13500.0,,97800.0,30548.0,48649.0,28502.0,32700.0,,22608.0,20627.0,45000.0,64536.0,71000.0,24280.0,90957.0,23030.0,28192.0,102370.0
VALUE,39025.0,68400.0,16700.0,,112000.0,40320.0,57037.0,43034.0,46740.0,62250.0,,29800.0,55000.0,87400.0,83850.0,34687.0,102600.0,,40150.0,120953.0
REASON,HomeImp,HomeImp,HomeImp,,HomeImp,HomeImp,HomeImp,HomeImp,HomeImp,HomeImp,,HomeImp,HomeImp,,HomeImp,HomeImp,HomeImp,,HomeImp,HomeImp
JOB,Other,Other,Other,,Office,Other,Other,Other,Other,Sales,,Office,Other,Mgr,Other,Other,Mgr,,Other,Office
YOJ,10.5,7.0,4.0,,3.0,9.0,5.0,11.0,3.0,16.0,18.0,11.0,3.0,2.5,8.0,,7.0,19.0,4.5,2.0
DEROG,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0
DELINQ,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,,1.0,0.0,0.0,1.0,1.0,6.0,,0.0,0.0
CLAGE,94.36666667,121.83333329999999,149.4666667,,93.33333333,101.46600190000001,77.1,88.76602988,216.93333330000002,115.8,,122.53333329999998,86.06666667,147.1333333,123.0,300.8666667,122.9,,54.6,90.99253347
NINQ,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,0.0,1.0,,1.0,0.0
CLNO,9.0,14.0,10.0,,14.0,8.0,17.0,8.0,12.0,13.0,,9.0,25.0,24.0,16.0,8.0,22.0,,16.0,13.0
DEBTINC,,,,,,37.11361356,,36.88489409,,,,,,,,,,3.7113123,,31.58850318
IMP_REASON,HomeImp,HomeImp,HomeImp,MISSING,HomeImp,HomeImp,HomeImp,HomeImp,HomeImp,HomeImp,MISSING,HomeImp,HomeImp,MISSING,HomeImp,HomeImp,HomeImp,MISSING,HomeImp,HomeImp
