,TARGET_BAD_FLAG,TARGET_LOSS_AMT,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,IMP_REASON,IMP_JOB,M_MORTDUE,IMP_MORTDUE,M_VALUE,IMP_VALUE,M_YOJ,IMP_YOJ,M_DEROG,IMP_DEROG,M_DELINQ,IMP_DELINQ,M_CLAGE,IMP_CLAGE,M_NINQ,IMP_NINQ,M_CLNO,IMP_CLNO,M_DEBTINC,IMP_DEBTINC,z_REASON_DebtCon,z_REASON_HomeImp,z_JOB_Mgr,z_JOB_Office,z_JOB_Other,z_JOB_ProfExe,z_JOB_Sales,z_JOB_Self
0,1,641.0,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.36666667,1.0,9.0,,HomeImp,Other,0,25860.0,0,39025.0,0,10.5,0,0.0,0,0.0,0,94.36666667,0,1.0,0,9.0,1,34.81826182,0,1,0,0,1,0,0,0
1,1,1109.0,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333329999999,0.0,14.0,,HomeImp,Other,0,70053.0,0,68400.0,0,7.0,0,0.0,0,2.0,0,121.83333329999999,0,0.0,0,14.0,1,34.81826182,0,1,0,0,1,0,0,0
2,1,767.0,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.4666667,1.0,10.0,,HomeImp,Other,0,13500.0,0,16700.0,0,4.0,0,0.0,0,0.0,0,149.4666667,0,1.0,0,10.0,1,34.81826182,0,1,0,0,1,0,0,0
3,1,1425.0,1500,,,,,,,,,,,,MISSING,MISSING,1,65019.0,1,89235.5,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182,0,0,0,0,0,0,0,0
4,0,,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.33333333,0.0,14.0,,HomeImp,Office,0,97800.0,0,112000.0,0,3.0,0,0.0,0,0.0,0,93.33333333,0,0.0,0,14.0,1,34.81826182,0,1,0,1,0,0,0,0
5,1,335.0,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600190000001,1.0,8.0,37.11361356,HomeImp,Other,0,30548.0,0,40320.0,0,9.0,0,0.0,0,0.0,0,101.46600190000001,0,1.0,0,8.0,0,37.11361356,0,1,0,0,1,0,0,0
6,1,1841.0,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,HomeImp,Other,0,48649.0,0,57037.0,0,5.0,0,3.0,0,2.0,0,77.1,0,1.0,0,17.0,1,34.81826182,0,1,0,0,1,0,0,0
7,1,373.0,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,HomeImp,Other,0,28502.0,0,43034.0,0,11.0,0,0.0,0,0.0,0,88.76602988,0,0.0,0,8.0,0,36.88489409,0,1,0,0,1,0,0,0
8,1,1217.0,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.93333330000002,1.0,12.0,,HomeImp,Other,0,32700.0,0,46740.0,0,3.0,0,0.0,0,2.0,0,216.93333330000002,0,1.0,0,12.0,1,34.81826182,0,1,0,0,1,0,0,0
9,1,1523.0,2000,,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,HomeImp,Sales,1,65019.0,0,62250.0,0,16.0,0,0.0,0,0.0,0,115.8,0,0.0,0,13.0,1,34.81826182,0,1,0,0,0,0,1,0
