,TARGET_CLM_FLAG,TARGET_CLM_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,HOME_VAL,TRAVTIME,BLUEBOOK,TIF,NPOLICY,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,y_EDU_4,y_EDU_3,y_EDU_2,y_EDU_1,z_PARENT1_Yes,z_MSTATUS_Yes,z_SEX_M,z_CAR_USE_Private,z_CAR_TYPE_Panel Truck,z_CAR_TYPE_Pickup,z_CAR_TYPE_SUV,z_CAR_TYPE_Sports Car,z_CAR_TYPE_Van,z_RED_CAR_yes,z_REVOKED_Yes,z_URBANICITY_Highly Urban/ Urban,z_IMP_JOB_Clerical,z_IMP_JOB_Doctor,z_IMP_JOB_Home Maker,z_IMP_JOB_Lawyer,z_IMP_JOB_MISSING,z_IMP_JOB_Manager,z_IMP_JOB_Professional,z_IMP_JOB_Student,M_AGE,IMP_AGE,M_YOJ,IMP_YOJ,M_INCOME,IMP_INCOME,M_HOME_VAL,IMP_HOME_VAL,M_CAR_AGE,IMP_CAR_AGE
0,0,,0,51.0,0,12.0,249276.0,25,25860,4,2,0,0,1,8.0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,51.0,0,12.0,0,85076.0,0,249276.0,0,8.0
1,1,6872.0,0,37.0,0,10.0,245993.0,23,16400,4,2,0,0,1,1.0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,37.0,0,10.0,0,55076.0,0,245993.0,0,1.0
2,1,6716.0,3,36.0,4,0.0,0.0,54,1500,4,2,0,0,5,10.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,36.0,0,0.0,1,360.0,0,0.0,0,10.0
3,0,,0,52.0,0,12.0,274122.0,44,10950,4,1,0,0,2,11.0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52.0,0,12.0,0,68564.0,0,274122.0,0,11.0
4,1,5970.0,0,33.0,4,14.0,0.0,33,7850,6,2,0,0,0,,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33.0,0,14.0,0,30504.0,0,0.0,1,8.0
5,0,,2,61.0,2,13.0,207509.0,49,12470,4,1,0,0,5,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0,13.0,0,48734.0,0,207509.0,0,1.0
6,0,,0,50.0,0,15.0,,30,23490,10,2,3181,1,0,9.0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,50.0,0,15.0,0,121746.0,1,160661.0,0,9.0
7,0,,3,42.0,3,14.0,249920.0,8,19250,6,2,13118,1,6,12.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,42.0,0,14.0,0,75288.0,0,249920.0,0,12.0
8,1,3694.0,0,44.0,0,13.0,0.0,35,17930,6,1,4824,2,0,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,44.0,0,13.0,0,21789.0,0,0.0,1,8.0
9,0,,0,47.0,0,11.0,137480.0,37,11160,6,1,0,0,0,8.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47.0,0,11.0,0,20300.0,0,137480.0,0,8.0
